``[add]``,``[+]``,2,yes,description
``[and]``,,2,yes,description
``[decrement]``,``[--]``,1,yes,description
``[div]``,``[/]``,2,yes,description
``[eq]``,``[=]``,2,yes,description
``[exit]``,,1,,description
``[filter]``,``[X]``,1,yes,description
``[gate]``,,2,yes,description
``[gt]``,``[>]``,2,yes,description
``[gte]``,``[>=]``,2,yes,description
``[increment]``,``[++]``,1,yes,description
``[joint]``,``[]``,1,yes,description
``[lt]``,``[<]``,2,yes,description
``[lte]``,``[<=]``,2,yes,description
``[mod]``,``[%]``,2,yes,description
``[mult]``,``[*]``,2,yes,description
``[ne]``,``[!=]``,2,yes,description
``[not]``,``[!]``,1,yes,description
``[or]``,,2,yes,description
``[print]``,,1,,description
``[println]``,,1,,description
``[readln]``,,1,yes,description
``[start]``,,0,yes,description
``[sub]``,``[-]``,2,yes,description
``{...}``,,1,yes,description
